 SRR11617503	SRR11617504	SRR11617505	SRR11617506	SRR11617507	SRR11617508	SRR11617513	SRR11617514	SRR11617519	SRR11617520	SRR11617523	SRR11617524	SRR11617526	SRR11617527	SRR11617528
scig1.0070425	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
scig1.0070383	0	1	0	0	0	0	1	2	1	0	2	0	0	2	0
scig1.0070380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069958	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1
scig1.0069804	10	0	2	0	0	2	0	0	0	0	0	0	0	0	4
scig1.0069734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069702	0	2	0	0	1	0	0	0	0	0	1	1	3	1	1
scig1.0069701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069586	4	2	0	1	4	0	0	3	1	2	3	2	5	1	0
scig1.0069582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069284	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069273	0	0	0	0	2	0	0	1	0	3	0	0	0	8	3
scig1.0069267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069262	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0069252	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0069123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069112	0	1	0	0	5	2	1	0	1	1	1	1	1	1	0
scig1.0069063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069053	0	7	0	0	13	0	14	4	7	7	8	12	5	0	14
scig1.0069039	144	53	104	37	101	106	81	59	88	87	111	115	90	125	40
scig1.0068972	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0068927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068536	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0068514	8	12	5	6	42	24	46	35	70	87	74	65	78	69	7
scig1.0068456	0	2	1	0	2	0	0	0	1	2	3	0	0	3	0
scig1.0068453	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
scig1.0068375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068355	372	126	190	125	196	186	212	122	201	254	407	366	215	279	218
scig1.0068288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068230	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0068112	9	0	3	0	13	9	2	2	0	0	0	0	0	0	0
scig1.0068048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068006	16	8	3	4	22	41	52	19	44	67	82	96	64	84	28
scig1.0067975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0067873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067841	46	12	2	1	7	15	1	2	14	8	23	20	77	68	9
scig1.0067834	127	83	93	78	237	158	271	152	290	359	264	363	375	438	296
scig1.0067744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067372	378	182	207	142	354	239	779	330	862	808	1007	933	651	483	716
scig1.0067370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066847	84	12	0	2	29	0	1	14	0	0	1	0	0	0	33
scig1.0066719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066645	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0
scig1.0066639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066585	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1
scig1.0066550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066509	3	0	3	2	0	1	2	1	1	3	0	0	0	0	6
scig1.0066244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065767	2	3	0	0	2	0	1	0	0	0	1	0	4	1	1
scig1.0065719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065673	5	1	4	1	4	5	2	0	2	1	0	4	3	5	2
scig1.0065628	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2
scig1.0065598	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
scig1.0065533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065492	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0
scig1.0065430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065392	48	26	0	6	20	46	12	22	16	9	12	17	10	21	0
scig1.0065267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065095	489	145	198	106	228	175	80	81	130	120	140	121	170	300	129
scig1.0065056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065020	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5
scig1.0064887	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0
scig1.0064805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064695	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0064681	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
scig1.0064671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0064653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064389	0	1	0	1	0	0	0	0	1	0	3	3	1	2	0
scig1.0064249	1522	402	665	318	697	753	407	388	446	421	505	488	467	567	877
scig1.0064226	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0
scig1.0064219	32	21	7	1	0	8	21	0	59	39	58	64	41	36	0
scig1.0064197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064161	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0
scig1.0064056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063880	4	0	0	1	2	3	1	0	0	2	1	3	10	4	0
scig1.0063727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063593	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
scig1.0063548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063505	0	0	0	0	0	0	0	0	1	1	2	2	0	3	0
scig1.0063490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069448	0	0	0	0	2	2	0	1	5	5	6	12	10	10	4
scig1.0063298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062972	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
scig1.0062969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062880	30	11	14	3	15	12	11	8	11	7	9	8	11	29	7
scig1.0062850	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062790	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0
scig1.0062700	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0062693	3	1	0	0	0	2	0	2	2	1	2	0	0	1	0
scig1.0062657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062520	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0062409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062373	0	0	0	0	0	5	2	1	0	1	1	3	0	1	3
scig1.0062325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062300	56	17	13	10	33	50	11	40	38	23	77	55	43	58	16
scig1.0062226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062030	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061823	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061767	18	3	11	7	12	7	5	4	13	14	19	11	20	33	1
scig1.0061722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061612	53	26	0	0	5	13	0	5	0	0	0	0	0	0	11
scig1.0061592	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0061512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061397	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061196	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0061182	3	1	1	0	3	1	0	2	0	0	1	0	1	4	0
scig1.0061172	76	20	37	19	70	72	95	50	94	87	65	55	68	74	101
