 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0044431	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0046320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001919	0	0	0	25	32	90	0	0	0	171	1	107	55	38	35
scig1.0012891	2	0	0	1	0	1	3	0	2	0	0	0	0	0	2
scig1.0077696	1	0	0	3	0	5	1	0	0	5	0	6	1	2	1
scig1.0044427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0033270	56	36	38	84	48	162	40	54	73	56	32	60	40	28	24
scig1.0044396	151	157	87	603	266	949	370	326	610	316	232	352	299	184	212
scig1.0070003	230	247	103	199	376	428	98	346	100	316	414	342	216	229	165
scig1.0020174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0020629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068332	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0037659	1	0	1	2	0	10	5	2	5	1	0	4	3	2	2
scig1.0044376	2	1	0	1	2	1	1	0	1	2	0	1	1	1	4
scig1.0058721	41	7	2	27	15	33	15	21	11	5	6	6	16	3	7
scig1.0065645	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
scig1.0002610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0028568	11	1	0	1	4	3	0	0	0	11	0	11	8	2	2
scig1.0019131	78	56	19	130	85	242	109	106	116	90	65	42	69	45	57
scig1.0026845	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
scig1.0048634	121	23	11	88	48	139	102	53	102	101	39	65	62	37	43
scig1.0044360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023166	3	13	4	14	23	23	15	16	20	22	15	9	16	9	9
scig1.0044356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0016151	62	55	17	159	94	214	103	94	129	90	57	110	93	62	50
scig1.0048827	0	1	0	0	11	0	1	3	2	0	1	1	1	1	0
scig1.0044351	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0
scig1.0064532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0027538	36	9	35	143	40	352	64	71	125	70	34	131	95	65	42
scig1.0044348	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
scig1.0043676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0034489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043728	1	0	0	0	0	3	1	0	1	2	1	1	1	1	0
scig1.0048927	67	42	40	103	21	130	49	63	73	46	27	72	43	21	22
scig1.0039532	3	0	1	3	1	2	4	2	0	0	0	4	3	5	0
scig1.0035948	47	23	18	80	41	157	43	53	80	57	32	54	87	41	43
scig1.0067256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0040623	8	21	13	62	23	112	23	28	43	27	29	28	19	13	11
scig1.0033047	0	0	0	23	17	59	24	30	45	11	11	19	16	9	16
scig1.0044274	12	5	8	33	16	54	19	18	34	30	7	32	19	10	3
scig1.0071149	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0044261	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0077172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0057315	63	23	31	80	25	133	27	20	38	61	16	88	43	15	27
scig1.0065575	0	0	0	2	2	0	2	0	0	0	1	0	0	0	0
scig1.0044253	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
scig1.0068063	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0
scig1.0067541	26	1	11	31	11	81	38	11	55	29	2	23	19	8	12
scig1.0011545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0052328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0008254	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0
scig1.0003101	0	0	0	2	2	3	0	0	0	6	0	2	5	2	1
scig1.0070119	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1
scig1.0004692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0055706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0054361	25	36	17	47	33	66	36	27	48	37	31	40	21	22	25
scig1.0044249	111	100	56	247	141	458	142	172	188	125	158	177	107	125	127
scig1.0044245	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0
scig1.0055314	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
scig1.0044224	4	1	0	5	2	3	4	0	15	1	0	1	5	0	0
scig1.0053783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075811	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0064006	0	0	1	0	0	0	0	1	2	1	0	3	0	1	0
scig1.0063799	17	9	7	27	12	63	15	17	12	18	17	22	18	8	6
scig1.0044218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025328	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
scig1.0054738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0049735	146	62	31	200	125	291	122	137	136	141	56	132	105	56	91
scig1.0057752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044215	1	2	2	3	1	11	0	0	0	0	1	3	1	2	1
scig1.0052656	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0057519	0	0	0	28	23	84	4	3	3	159	3	50	29	37	39
scig1.0044199	0	0	2	7	2	8	4	5	8	2	7	7	32	20	11
scig1.0007665	0	0	0	0	1	0	0	2	0	0	2	0	0	0	1
scig1.0075795	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
scig1.0034200	0	0	1	0	1	1	0	0	0	0	2	0	1	0	0
scig1.0044189	31	5	15	134	23	240	87	9	125	81	2	69	49	19	34
scig1.0044177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073314	1	1	1	9	2	17	2	1	7	1	2	1	1	0	1
scig1.0054111	1	1	0	0	1	2	0	0	2	0	0	0	1	0	0
scig1.0044167	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
scig1.0004694	0	3	1	3	3	1	4	1	3	0	2	2	0	0	0
scig1.0056036	48	9	10	67	18	147	72	24	117	55	11	50	42	11	29
scig1.0036954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0031206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070180	2	0	0	2	0	1	3	0	1	1	0	2	0	0	2
scig1.0064904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044156	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0054595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0018956	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0049187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0044142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081712	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
scig1.0030925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0010843	46	41	26	276	147	375	116	151	171	77	88	100	95	48	73
scig1.0066883	62	5	34	125	20	225	65	17	132	75	9	87	45	25	41
scig1.0031868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044035	4	1	1	3	1	4	2	3	1	4	8	2	2	3	8
scig1.0065810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0056019	0	1	0	19	2	43	6	0	27	10	0	8	4	0	4
scig1.0045358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0018593	0	0	0	7	0	0	0	1	1	1	0	1	0	1	0
scig1.0011708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044077	261	41	68	324	77	570	289	76	409	288	20	309	186	85	138
scig1.0003643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0029540	303	114	126	397	168	830	191	149	267	168	108	238	118	75	112
scig1.0017494	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
scig1.0044072	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
scig1.0044059	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0052183	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
scig1.0060592	0	1	1	0	0	0	1	1	2	0	0	2	0	1	0
scig1.0066091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044055	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0056241	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
scig1.0044046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0035389	17	13	2	20	11	28	26	24	20	22	9	12	21	5	6
scig1.0040302	49	13	8	41	23	90	42	22	46	70	20	28	41	26	38
scig1.0054540	0	0	0	3	0	14	4	0	4	2	0	2	1	1	0
scig1.0032788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044009	47	12	15	47	28	101	51	32	50	46	14	24	40	24	20
scig1.0020444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061518	0	2	1	0	2	0	0	0	0	0	0	1	0	0	0
scig1.0061179	180	62	63	132	92	244	123	82	138	128	88	212	93	67	80
scig1.0065375	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0061395	216	509	125	789	672	1124	467	1086	642	297	630	418	352	440	211
scig1.0027999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066054	34	8	10	2897	181	6790	751	26	815	687	19	850	428	178	234
scig1.0043999	16	3	12	50	8	96	35	18	51	48	7	32	27	22	17
scig1.0009817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043990	15	18	4	85	22	87	50	33	82	32	25	24	20	18	18
scig1.0043989	1	1	0	2	0	1	0	0	2	0	0	0	0	0	0
scig1.0056421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043977	0	0	0	1	0	1	4	6	9	0	1	1	1	0	1
scig1.9000133	0	1	1	0	0	1	1	0	0	0	0	1	0	0	2
scig1.0043968	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0
scig1.0047521	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
scig1.0043967	26	2	4	11	5	24	14	7	10	17	1	7	9	6	8
scig1.0054142	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0042851	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
scig1.0043954	249	166	92	434	181	752	178	239	240	250	161	248	205	105	117
scig1.0047938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043952	2	0	0	13	3	20	1	3	1	24	1	26	12	3	2
scig1.0081513	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0
scig1.0043949	784	1367	510	3067	2026	4762	1978	2231	2543	1170	2023	1669	1082	1242	805
scig1.0078583	5	1	2	5	4	7	5	1	12	9	1	4	3	0	7
scig1.0043939	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0073485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043929	2	2	0	2	0	0	1	0	3	0	0	1	1	0	0
scig1.0035591	5	1	0	1	2	3	2	0	1	0	1	2	0	1	2
scig1.0009927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013780	36	105	15	29	277	20	13	141	14	8	174	16	14	32	11
scig1.0043917	14	57	4	18	23	26	14	57	17	21	57	25	25	14	16
scig1.0037625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070412	29	27	13	51	32	93	28	29	46	44	23	17	32	25	15
scig1.0043913	0	1	0	1	0	1	0	3	0	0	1	0	1	0	0
scig1.0033198	1	2	0	5	4	6	2	5	6	0	0	0	0	2	2
scig1.0040889	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0065138	5	1	1	4	3	11	0	1	0	9	2	6	3	1	5
scig1.0043896	46	23	18	85	43	244	53	63	97	56	27	62	66	46	53
scig1.0043892	588	105	282	531	286	894	440	344	490	610	182	767	453	236	326
scig1.0040892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0054399	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0
scig1.0025082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0005932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0050760	28	27	21	162	96	344	61	87	113	99	45	175	94	110	51
scig1.0051602	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0058145	3	5	0	23	11	21	11	2	7	10	9	5	4	3	6
scig1.0043886	4	2	3	17	3	13	2	9	8	3	5	6	6	3	4
scig1.0067079	21	18	6	26	15	38	16	14	18	27	5	28	17	16	19
scig1.0022938	114	82	100	306	116	686	179	148	191	146	142	221	216	169	107
scig1.0053734	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0026441	67	53	37	280	98	452	163	92	281	118	83	131	88	61	61
scig1.0039925	5	3	0	16	6	19	7	6	16	10	4	7	6	3	2
scig1.0037365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043883	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0
scig1.0056332	62	58	13	69	47	108	38	55	47	50	65	44	18	30	37
scig1.0047340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0045763	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
scig1.0033965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070885	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0003744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043855	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0055581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0035911	0	0	0	6	0	10	5	0	3	8	2	8	1	0	0
scig1.0033158	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
scig1.0043853	0	0	0	0	1	3	0	0	0	6	0	2	0	3	1
scig1.0077649	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
scig1.0064186	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
scig1.0011844	1	0	0	2	1	1	4	3	4	0	1	1	2	2	2
scig1.0047813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043825	0	1	0	0	4	1	0	4	0	0	3	0	1	0	0
scig1.0063440	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043718	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
scig1.0043823	1	2	1	1	4	3	0	0	2	2	4	2	1	1	1
scig1.0033351	9	21	5	17	16	23	13	22	19	14	32	9	9	9	7
scig1.0078000	185	57	82	320	161	839	214	171	302	172	116	177	172	128	187
scig1.0058152	44	73	36	157	233	239	74	219	104	43	88	98	60	56	54
scig1.0041618	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0043811	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
scig1.0057523	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0
scig1.0070315	2	1	1	4	3	2	5	3	3	1	2	2	1	2	4
scig1.0071176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043810	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
scig1.0041783	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1
scig1.0058273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0028700	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0
scig1.0045319	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0043807	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0
scig1.0043801	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
scig1.0025740	2	0	0	0	0	0	0	2	1	0	0	1	0	0	1
scig1.0000485	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0
scig1.0011712	92	29	18	66	36	115	66	32	63	23	16	10	38	12	23
scig1.0047067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0059391	0	0	0	7	3	22	0	0	0	28	0	6	9	7	6
scig1.0025394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043758	92	125	19	84	186	168	71	154	78	94	128	56	51	57	65
scig1.0063685	0	0	1	6	2	5	0	2	2	2	3	1	1	1	2
scig1.0075891	0	0	0	4	0	5	2	0	6	1	0	1	3	0	0
scig1.0070347	512	110	106	484	293	1053	452	338	490	364	214	272	334	158	284
scig1.0043756	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0029905	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
scig1.0046215	52	63	15	124	74	286	72	79	90	79	43	87	62	61	50
scig1.0075038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043753	299	88	53	334	145	658	271	157	277	231	131	161	224	112	191
scig1.0015116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.9001389	0	0	0	4	0	0	0	3	1	0	2	0	0	0	3
scig1.0043749	0	51	0	12	48	5	3	35	2	7	121	12	11	108	4
scig1.0079815	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
scig1.0047714	59	26	18	171	103	254	95	181	118	49	39	72	56	29	44
scig1.9000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0029315	83	26	18	56	41	129	109	37	97	99	20	54	69	28	45
scig1.0023792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062694	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
scig1.0067123	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1
scig1.0043741	86	95	30	347	203	479	204	190	245	117	119	111	85	45	71
scig1.0026386	5	0	0	1	0	2	0	0	2	0	0	1	0	0	0
scig1.0044038	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0037405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062515	56	20	10	45	35	113	40	31	61	36	29	31	36	14	30
scig1.0043736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0048757	1	0	0	3	1	3	1	0	1	2	0	2	3	0	1
scig1.0062911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043735	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0041851	260	319	165	509	416	1167	210	488	326	251	339	396	269	362	175
scig1.0043733	1	18	2	29	36	46	18	73	22	12	47	13	5	10	20
scig1.0032597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073542	205	90	73	313	162	645	229	172	278	196	92	275	149	80	166
scig1.0023849	127	89	42	323	155	445	239	147	273	137	156	134	106	64	129
scig1.0066947	5	5	1	14	11	8	6	6	5	4	6	2	4	3	2
scig1.0001131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0052519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043734	7	18	7	5	19	33	11	28	6	14	26	13	10	19	10
scig1.0043712	14	8	3	25	11	63	26	14	36	9	1	8	8	0	1
scig1.0077884	1	5	3	6	11	9	5	6	11	3	4	5	4	1	1
scig1.0068775	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
scig1.0014459	0	0	0	3	1	6	5	1	4	3	0	4	2	1	1
scig1.0044029	1	2	0	0	2	3	0	0	2	0	4	0	0	0	0
scig1.0027600	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
scig1.0028017	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
scig1.0065735	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0
scig1.0043703	12	5	1	17	3	28	9	5	5	12	3	6	3	2	9
scig1.0043693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0015195	0	0	1	1	3	0	0	1	1	0	1	0	0	0	1
scig1.0006442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0003782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043690	188	26	136	532	74	1031	324	128	587	250	49	246	275	72	151
scig1.9001295	8	0	1	1	1	5	3	4	8	0	1	1	1	0	1
scig1.0078227	23	23	1	50	26	65	41	30	45	21	13	17	16	5	16
scig1.0068309	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
scig1.0069743	21	43	4	51	58	79	22	79	14	90	40	48	42	42	25
scig1.9001048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043689	3	3	1	1	0	1	1	0	1	0	1	0	0	1	0
scig1.0040064	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0037387	24	8	6	20	15	30	4	16	6	12	3	15	13	12	1
scig1.0063750	1032	177	127	633	184	1189	560	166	495	467	95	313	322	146	266
scig1.0043684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0016045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043679	86	107	46	178	181	338	114	165	202	151	206	281	104	122	91
scig1.0040530	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
scig1.0049976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043643	5	0	1	3	0	0	0	2	1	1	0	0	0	0	1
scig1.0043639	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0030956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044672	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
scig1.0043635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043619	9	26	1	14	66	35	24	66	13	21	63	9	16	22	6
scig1.0043614	159	27	47	55	36	119	58	19	48	115	16	75	69	36	58
scig1.0056464	18	39	0	17	45	16	15	47	4	26	82	4	8	18	5
scig1.0021222	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
scig1.0037867	26	20	3	63	28	91	47	60	58	23	33	26	31	23	27
scig1.0043581	191	183	146	1727	461	2824	835	647	1291	533	509	717	515	382	471
scig1.0038559	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0
scig1.0069484	2	5	0	1	2	0	0	1	3	0	1	2	0	0	2
scig1.0043572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0039536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073445	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0014889	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0014641	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0052642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0035268	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0024898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0032350	4	5	5	33	15	35	19	19	29	6	2	7	6	1	2
scig1.0043545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0016746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0007333	0	4	0	1	3	1	0	1	0	1	0	1	0	0	0
scig1.0081120	0	0	0	1	0	1	0	2	0	2	0	2	0	1	1
scig1.0078349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0014551	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
scig1.0043517	0	0	1	1	0	2	0	0	2	1	0	1	0	0	0
scig1.0068791	2	0	1	3	0	3	3	2	3	4	1	3	1	2	1
scig1.0053634	67225	5960	45969	15467	18157	35851	12313	13498	27010	32545	19945	41136	45932	13147	44097
scig1.0054086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043513	99	57	15	181	127	291	107	107	142	95	115	72	68	52	98
scig1.0070833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0036251	37	23	20	129	31	249	41	36	60	53	58	59	43	26	20
scig1.9000196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0019978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0004253	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
scig1.0043511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023664	0	0	0	1	1	2	0	0	0	0	2	0	0	0	2
scig1.0050774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043510	0	0	0	0	0	1	0	0	0	2	0	1	2	1	0
scig1.0016213	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0
scig1.0046364	59	41	29	167	69	289	73	65	112	70	66	78	54	37	44
scig1.0075016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044139	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0
scig1.0008239	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
scig1.0006096	1	1	0	5	2	4	7	7	7	1	2	8	3	1	1
scig1.0043493	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
scig1.0043481	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
scig1.0070826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043444	0	4	1	3	1	4	1	5	2	1	2	2	0	0	1
scig1.0052927	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0043436	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0060853	1	0	0	2	1	2	1	0	2	2	0	2	0	0	0
scig1.0048398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0018074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0055346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0049292	0	1	0	3	1	4	2	1	1	3	1	1	3	0	2
scig1.0053549	34	16	10	58	48	172	48	28	46	44	43	35	48	40	69
scig1.0043403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043401	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1
scig1.0043400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0043385	1	1	1	5	3	16	2	1	1	19	1	22	3	0	6
scig1.0046439	1	5	0	5	1	4	4	3	1	1	3	1	1	1	2
